Entity,Code,Year,GDP from tourism as a share of total GDP
Canada,CAN,2019,2.090093
Canada,CAN,2020,1
Canada,CAN,2021,1
Canada,CAN,2022,1.4
Chile,CHL,2008,3.2492762
Chile,CHL,2009,3.319001
Chile,CHL,2010,3.2462027
Chile,CHL,2011,3.156639
Chile,CHL,2012,3.454713
Chile,CHL,2013,3.136377
Chile,CHL,2014,3.1048307
Chile,CHL,2015,3.3981483
Chile,CHL,2016,3.6422906
Chile,CHL,2017,3.5403495
Chile,CHL,2018,3.2959533
Chile,CHL,2019,3.3139246
Colombia,COL,2008,2.5710747
Colombia,COL,2009,2.4838448
Colombia,COL,2010,2.4137785
Colombia,COL,2011,2.213654
Colombia,COL,2012,2.1300948
Colombia,COL,2013,2.0882123
Colombia,COL,2014,2.061599
Colombia,COL,2015,1.9038471
Colombia,COL,2016,2.0598714
Colombia,COL,2017,2.070051
Colombia,COL,2018,2.55753
Colombia,COL,2019,2.6381485
Colombia,COL,2020,1.2478757
Colombia,COL,2021,1.7007594
Colombia,COL,2022,2.1293907
Costa Rica,CRI,2012,4.4107556
Costa Rica,CRI,2013,4.6870594
Costa Rica,CRI,2014,4.617562
Costa Rica,CRI,2015,4.7099004
Costa Rica,CRI,2016,4.9939566
Costa Rica,CRI,2017,4.8088317
Costa Rica,CRI,2018,4.6541758
Costa Rica,CRI,2019,4.8180857
Costa Rica,CRI,2020,1.868988
Costa Rica,CRI,2021,2.7197192
Cote d'Ivoire,CIV,2012,2.4
Cote d'Ivoire,CIV,2013,3.6
Cote d'Ivoire,CIV,2014,4.8
Cote d'Ivoire,CIV,2015,5.16
Cote d'Ivoire,CIV,2016,5.52
Cote d'Ivoire,CIV,2017,5.89
Cote d'Ivoire,CIV,2018,6.25
Cote d'Ivoire,CIV,2019,7.3
Cote d'Ivoire,CIV,2020,1.5
Croatia,HRV,2011,10.3
Croatia,HRV,2016,11.396074
Croatia,HRV,2019,11.82341
Czechia,CZE,2008,2.8015535
Czechia,CZE,2009,2.8734734
Czechia,CZE,2010,2.6529765
Czechia,CZE,2011,2.6599233
Czechia,CZE,2012,2.7493885
Czechia,CZE,2013,2.8829653
Czechia,CZE,2014,2.7636108
Czechia,CZE,2015,2.7723553
Czechia,CZE,2016,2.9068377
Czechia,CZE,2017,2.941727
Czechia,CZE,2018,2.8794243
Czechia,CZE,2019,2.8738184
Czechia,CZE,2020,1.5013151
Czechia,CZE,2021,1.552825
Denmark,DNK,2008,1.6828082
Denmark,DNK,2010,1.9747332
Denmark,DNK,2011,1.4525561
Denmark,DNK,2012,1.4730273
Denmark,DNK,2013,1.685459
Denmark,DNK,2014,1.8857125
Denmark,DNK,2015,1.8737764
Denmark,DNK,2016,1.930691
Denmark,DNK,2017,2.3386962
Denmark,DNK,2018,2.2581284
Denmark,DNK,2019,2.4966884
Denmark,DNK,2020,1.4467291
Denmark,DNK,2021,1.5511806
Ecuador,ECU,2008,1.82
Ecuador,ECU,2009,1.66
Ecuador,ECU,2010,1.72
Ecuador,ECU,2011,1.86
Ecuador,ECU,2012,1.9
Ecuador,ECU,2013,1.89
Ecuador,ECU,2014,1.96
Ecuador,ECU,2015,1.9
Ecuador,ECU,2016,1.87
Ecuador,ECU,2017,2.07
Ecuador,ECU,2018,2.31
Ecuador,ECU,2019,2.28
Egypt,EGY,2009,5.6
Egypt,EGY,2010,6.3
Egypt,EGY,2012,4.8
Egypt,EGY,2013,3.9
Egypt,EGY,2014,4.3
Egypt,EGY,2015,3.3
Egypt,EGY,2016,2.47
Egypt,EGY,2017,1.63
Egypt,EGY,2018,1.62
Egypt,EGY,2019,2.32
Egypt,EGY,2020,2.04
El Salvador,SLV,2014,2.9578712
El Salvador,SLV,2015,3.046127
El Salvador,SLV,2016,3.2359302
El Salvador,SLV,2017,3.4984808
El Salvador,SLV,2018,3.516774
Equatorial Guinea,GNQ,2008,2.060468
Equatorial Guinea,GNQ,2009,3.3102002
Equatorial Guinea,GNQ,2010,3.023773
Equatorial Guinea,GNQ,2011,3.4215152
Equatorial Guinea,GNQ,2012,3.3385189
Equatorial Guinea,GNQ,2013,4.036604
Equatorial Guinea,GNQ,2014,4.207407
Equatorial Guinea,GNQ,2015,5.551175
Equatorial Guinea,GNQ,2016,6.5798497
Equatorial Guinea,GNQ,2017,5.9073753
Equatorial Guinea,GNQ,2018,5.7699327
Equatorial Guinea,GNQ,2019,6.635873
Equatorial Guinea,GNQ,2020,7.288409
Estonia,EST,2008,4.2090344
Estonia,EST,2009,4.6857963
Estonia,EST,2010,4.5480313
Estonia,EST,2011,4.396227
Estonia,EST,2012,4.34115
Estonia,EST,2013,4.780077
Estonia,EST,2014,5.463576
Estonia,EST,2015,5.482179
Estonia,EST,2016,5.458397
Estonia,EST,2017,5.4
Eswatini,SWZ,2008,1.3648673
Eswatini,SWZ,2009,1.5499594
Eswatini,SWZ,2010,1.4543798
Eswatini,SWZ,2011,1.1956245
Eswatini,SWZ,2012,1.0724595
Eswatini,SWZ,2013,0.9551701
Eswatini,SWZ,2014,0.94373035
Eswatini,SWZ,2015,1.0947849
Eswatini,SWZ,2016,0.90679115
Eswatini,SWZ,2017,1.254068
Eswatini,SWZ,2018,1.1834607
Eswatini,SWZ,2019,1.1839612
Eswatini,SWZ,2020,0.7348905
Eswatini,SWZ,2021,0.69021577
Fiji,FJI,2008,13
Fiji,FJI,2011,11.5
Fiji,FJI,2012,11.5
Fiji,FJI,2013,12.1
Fiji,FJI,2014,13.3
Fiji,FJI,2015,13.7
Fiji,FJI,2016,12.6
Fiji,FJI,2017,13.5
Fiji,FJI,2018,12.6
Fiji,FJI,2019,11.8
Fiji,FJI,2020,0.1
Fiji,FJI,2021,-0.1
Fiji,FJI,2022,9.9
Finland,FIN,2011,2.4308934
Finland,FIN,2012,2.5135176
Finland,FIN,2013,2.46271
Finland,FIN,2014,2.4443698
Finland,FIN,2015,2.4518206
Finland,FIN,2016,2.4595237
Finland,FIN,2017,2.671147
Finland,FIN,2018,2.6992657
Finland,FIN,2019,2.7421184
Finland,FIN,2020,1.4
Finland,FIN,2021,1.6
France,FRA,2019,4.029747
France,FRA,2020,3.1886256
France,FRA,2021,3.0000396
French Polynesia,PYF,2018,7.3
French Polynesia,PYF,2019,7.3
French Polynesia,PYF,2022,8
Germany,DEU,2010,4.2069945
Germany,DEU,2015,4.0582376
Germany,DEU,2016,3.9957938
Germany,DEU,2017,3.986273
Germany,DEU,2018,3.984067
Germany,DEU,2019,3.9857934
Germany,DEU,2020,2.3652349
Greece,GRC,2008,5.517091
Greece,GRC,2009,4.7391725
Greece,GRC,2010,5.1234293
Greece,GRC,2011,4.911146
Greece,GRC,2012,5.071819
Greece,GRC,2013,5.98076
Greece,GRC,2014,6.385845
Greece,GRC,2015,6.54542
Greece,GRC,2016,6.141134
Greece,GRC,2017,6.5425
Greece,GRC,2018,6.9321012
Greece,GRC,2019,7.3384824
Greece,GRC,2020,4.3985343
Greece,GRC,2021,5.6496596
Greece,GRC,2022,7.078908
Guam,GUM,2010,12
Guam,GUM,2015,11.2
Guam,GUM,2016,12.1
Guam,GUM,2019,22
Guam,GUM,2020,10.7
Guam,GUM,2021,6.3
Guinea,GIN,2011,1.6792935
Guinea,GIN,2012,1.6424439
Guinea,GIN,2013,1.4290411
Guinea,GIN,2014,1.2426823
Guinea,GIN,2015,1.0687675
Guinea,GIN,2016,1.0047574
Guinea,GIN,2017,0.92360044
Guyana,GUY,2013,3
Guyana,GUY,2014,3.2
Guyana,GUY,2015,1.9
Guyana,GUY,2016,2
Guyana,GUY,2017,2
Guyana,GUY,2018,1.4
Guyana,GUY,2019,1.4
Guyana,GUY,2020,0.8
Guyana,GUY,2021,0.8
Honduras,HND,2008,6
Honduras,HND,2009,6.2
Honduras,HND,2010,6.1
Honduras,HND,2011,6.1
Honduras,HND,2012,6.4
Honduras,HND,2013,6.5
Honduras,HND,2014,6.4
Honduras,HND,2015,6.4
Honduras,HND,2016,6.4
Honduras,HND,2017,6
Hong Kong,HKG,2008,2.7561874
Hong Kong,HKG,2009,3.2241466
Hong Kong,HKG,2010,4.297041
Hong Kong,HKG,2011,4.5339336
Hong Kong,HKG,2012,4.698589
Hong Kong,HKG,2013,5.0463753
Hong Kong,HKG,2014,5.099562
Hong Kong,HKG,2015,5.004
Hong Kong,HKG,2016,4.6501102
Hong Kong,HKG,2017,4.4782686
Hong Kong,HKG,2018,4.462326
Hong Kong,HKG,2019,3.5984676
Hong Kong,HKG,2020,0.35806355
Hong Kong,HKG,2021,0.1
Hong Kong,HKG,2022,0.4
Hungary,HUN,2008,2.3953435
Hungary,HUN,2009,2.3750505
Hungary,HUN,2010,2.4457345
Hungary,HUN,2011,2.4523876
Hungary,HUN,2012,2.5644054
Hungary,HUN,2013,2.5767562
Hungary,HUN,2014,2.8128963
Hungary,HUN,2015,2.7303863
Hungary,HUN,2016,2.7519577
Hungary,HUN,2017,2.685407
Hungary,HUN,2018,3.042924
Hungary,HUN,2019,3.3779178
Hungary,HUN,2020,1.5218005
Hungary,HUN,2021,1.6443121
Iceland,ISL,2009,3.5111735
Iceland,ISL,2010,3.4267716
Iceland,ISL,2011,3.6826334
Iceland,ISL,2012,4.1666584
Iceland,ISL,2013,4.678649
Iceland,ISL,2014,5.4796352
Iceland,ISL,2015,6.5
Iceland,ISL,2016,8.198396
Iceland,ISL,2017,7.9836993
Iceland,ISL,2018,8.089224
Iceland,ISL,2019,8.1
Iceland,ISL,2020,2.8
Iceland,ISL,2021,3.9
Iceland,ISL,2022,6.1
India,IND,2009,3.682131
India,IND,2010,3.6725886
India,IND,2011,3.047542
India,IND,2012,3.1049566
India,IND,2013,3.0649543
India,IND,2014,3.1370773
India,IND,2015,2.647051
India,IND,2016,2.621343
India,IND,2017,2.6139357
India,IND,2018,2.6051848
India,IND,2019,2.6918948
India,IND,2020,0.7799198
India,IND,2021,0.9210742
Indonesia,IDN,2008,4.7
Indonesia,IDN,2009,4.17
Indonesia,IDN,2010,4.06
Indonesia,IDN,2011,4
Indonesia,IDN,2012,3.96
Indonesia,IDN,2013,4.02
Indonesia,IDN,2014,4.13
Indonesia,IDN,2015,4.31
Indonesia,IDN,2016,4.6505423
Indonesia,IDN,2017,4.6749697
Indonesia,IDN,2018,4.9121866
Indonesia,IDN,2019,4.9663334
Indonesia,IDN,2020,2.241401
Ireland,IRL,2019,4.764683
Israel,ISR,2008,2.6838045
Israel,ISR,2009,2.528945
Israel,ISR,2010,2.7600791
Israel,ISR,2011,2.696887
Israel,ISR,2012,2.7404203
Israel,ISR,2013,2.6183214
Israel,ISR,2014,2.5284257
Israel,ISR,2015,2.5923772
Israel,ISR,2016,2.5233014
Israel,ISR,2017,2.5534585
Israel,ISR,2018,2.64084
Israel,ISR,2019,2.5831666
Israel,ISR,2020,0.7
Israel,ISR,2021,1.0678439
Israel,ISR,2022,1.9
Italy,ITA,2010,5.1485796
Italy,ITA,2015,5.4102592
Italy,ITA,2017,5.4985833
Italy,ITA,2019,5.7128034
Jamaica,JAM,2008,7.0590286
Jamaica,JAM,2009,7.2
Jamaica,JAM,2010,6.9
Jamaica,JAM,2011,6.5
Jamaica,JAM,2012,6.4
Jamaica,JAM,2013,6.9
Jamaica,JAM,2014,7.5
Jamaica,JAM,2015,7.8
Jamaica,JAM,2016,8.4
Jamaica,JAM,2017,9
Jamaica,JAM,2018,9.2
Jamaica,JAM,2019,9.8
Japan,JPN,2008,1.9
Japan,JPN,2009,1.8
Japan,JPN,2010,1.7
Japan,JPN,2011,1.7
Japan,JPN,2012,1.7
Japan,JPN,2013,1.8
Japan,JPN,2014,1.7
Japan,JPN,2015,1.8
Japan,JPN,2016,2
Japan,JPN,2017,2
Japan,JPN,2018,1.9
Japan,JPN,2019,2
Japan,JPN,2020,0.8
Japan,JPN,2021,0.6
Jordan,JOR,2008,6.7
Jordan,JOR,2010,7
Jordan,JOR,2012,6.5
Jordan,JOR,2016,6
Kazakhstan,KAZ,2008,1.5066835
Kazakhstan,KAZ,2009,1.4152658
Kazakhstan,KAZ,2010,1.2567192
Kazakhstan,KAZ,2011,1.414612
Kazakhstan,KAZ,2012,1.4552171
Kazakhstan,KAZ,2013,1.0226225
Kazakhstan,KAZ,2014,0.9187906
Kazakhstan,KAZ,2015,1.0477328
Kazakhstan,KAZ,2016,1.2602596
Kazakhstan,KAZ,2017,1.3443427
Kazakhstan,KAZ,2018,1.3585516
Kazakhstan,KAZ,2019,1.2700673
Kazakhstan,KAZ,2020,0.61419344
Kazakhstan,KAZ,2021,0.72381896
Kiribati,KIR,2008,0.57
Kiribati,KIR,2009,0.61
Kiribati,KIR,2010,0.52
Kiribati,KIR,2011,0.58
Kiribati,KIR,2012,0.51
Kiribati,KIR,2013,0.53
Kiribati,KIR,2014,0.5
Kiribati,KIR,2015,0.51
Kiribati,KIR,2016,0.6
Kiribati,KIR,2017,0.76
Kiribati,KIR,2018,0.69
Kiribati,KIR,2019,0.72
Latvia,LVA,2008,4.2
Latvia,LVA,2009,3.1
Latvia,LVA,2010,3.1
Latvia,LVA,2011,3.4
Latvia,LVA,2012,4.4
Latvia,LVA,2013,4.2
Latvia,LVA,2014,4.3
Latvia,LVA,2015,4.2
Latvia,LVA,2016,4.5
Latvia,LVA,2017,4.6
Latvia,LVA,2018,4.9
Latvia,LVA,2019,4.8
Lebanon,LBN,2008,2.2
Lebanon,LBN,2009,2.9
Lebanon,LBN,2010,2.9
Lebanon,LBN,2011,2.8
Lebanon,LBN,2012,2.6
Lebanon,LBN,2013,2.6
Lebanon,LBN,2014,2.8
Lebanon,LBN,2015,3
Lebanon,LBN,2016,3
Lebanon,LBN,2017,3.1
Lebanon,LBN,2018,3
Lebanon,LBN,2019,3
Lebanon,LBN,2020,2
Lithuania,LTU,2009,2.801917
Lithuania,LTU,2010,2.732644
Lithuania,LTU,2011,2.76061
Lithuania,LTU,2012,2.9460752
Lithuania,LTU,2013,3.004695
Lithuania,LTU,2014,3.055213
Lithuania,LTU,2015,2.9898176
Lithuania,LTU,2016,3.0254006
Lithuania,LTU,2017,3.0140703
Lithuania,LTU,2018,2.9483683
Lithuania,LTU,2019,2.941851
Lithuania,LTU,2020,1.6683943
Lithuania,LTU,2021,1.7
Luxembourg,LUX,2014,1.2272758
Luxembourg,LUX,2015,1.1686244
Luxembourg,LUX,2016,1.222996
Luxembourg,LUX,2017,1.2498927
Luxembourg,LUX,2018,1.2506856
Luxembourg,LUX,2019,1.2484715
Luxembourg,LUX,2020,0.80637676
Luxembourg,LUX,2021,0.7344163
Macao,MAC,2010,54.933994
Macao,MAC,2011,58.78984
Macao,MAC,2012,58.74405
Macao,MAC,2013,59.63012
Macao,MAC,2014,56.23227
Macao,MAC,2015,47.845184
Macao,MAC,2016,46.95424
Macao,MAC,2017,49.94791
Macao,MAC,2018,52.26366
Macao,MAC,2019,52.56762
Macao,MAC,2020,21.441631
Macao,MAC,2021,27.95808
Malawi,MWI,2013,4.5
Malawi,MWI,2014,3.5
Malawi,MWI,2015,3.4
Malawi,MWI,2016,3.4
Malawi,MWI,2017,3.5
Malawi,MWI,2018,3.4
Malawi,MWI,2019,2.7
Malawi,MWI,2020,1.6
Malaysia,MYS,2008,4.860895
Malaysia,MYS,2009,5.4163213
Malaysia,MYS,2010,5.569316
Malaysia,MYS,2011,5.5957284
Malaysia,MYS,2012,5.6489124
Malaysia,MYS,2013,5.9617953
Malaysia,MYS,2014,6.279529
Malaysia,MYS,2015,6.36879
Malaysia,MYS,2016,6.5690584
Malaysia,MYS,2017,6.404902
Malaysia,MYS,2018,6.5325317
Malaysia,MYS,2019,6.7607446
Malaysia,MYS,2020,1.9986627
Malaysia,MYS,2021,0.74786985
Malaysia,MYS,2022,2.6755223
Malta,MLT,2010,5.9
Marshall Islands,MHL,2008,2.6
Marshall Islands,MHL,2009,2.5
Marshall Islands,MHL,2010,2.3
Marshall Islands,MHL,2011,2.2
Marshall Islands,MHL,2012,2.1
Marshall Islands,MHL,2013,1.9
Marshall Islands,MHL,2014,2.1
Marshall Islands,MHL,2015,2.2
Marshall Islands,MHL,2016,2.3
Marshall Islands,MHL,2017,2.3
Marshall Islands,MHL,2018,2.3
Marshall Islands,MHL,2019,2.5
Marshall Islands,MHL,2020,2
Marshall Islands,MHL,2021,1.8
Martinique,MTQ,2008,4.665944
Martinique,MTQ,2009,4.867048
Martinique,MTQ,2010,5.2019887
Martinique,MTQ,2011,5.222708
Martinique,MTQ,2012,5.1135955
Martinique,MTQ,2013,5.180469
Martinique,MTQ,2014,4.7
Martinique,MTQ,2015,5
Martinique,MTQ,2016,5.2
Martinique,MTQ,2017,5.6448116
Martinique,MTQ,2018,5.3
Martinique,MTQ,2019,5.4
Mauritius,MUS,2010,9.6
Mauritius,MUS,2011,10
Mauritius,MUS,2012,9.9
Mauritius,MUS,2013,9
Mauritius,MUS,2014,9.1
Mauritius,MUS,2015,9.2
Mauritius,MUS,2016,9.2
Mauritius,MUS,2017,9.1
Mauritius,MUS,2018,9.3
Mauritius,MUS,2019,9.2
Mauritius,MUS,2020,2.7
Mauritius,MUS,2021,2.3
Mauritius,MUS,2022,8.6
Mexico,MEX,2008,8.879313
Mexico,MEX,2009,9.154534
Mexico,MEX,2010,8.866985
Mexico,MEX,2011,8.608892
Mexico,MEX,2012,8.645923
Mexico,MEX,2013,8.994659
Mexico,MEX,2014,8.916772
Mexico,MEX,2015,8.838171
Mexico,MEX,2016,8.451799
Mexico,MEX,2017,8.487258
Mexico,MEX,2018,8.53957
Mexico,MEX,2019,8.611684
Mexico,MEX,2020,6.7661247
Mexico,MEX,2021,7.6244426
Mexico,MEX,2022,8.462901
Micronesia (country),FSM,2008,1.9007032
Micronesia (country),FSM,2009,1.6777675
Micronesia (country),FSM,2010,1.7025311
Micronesia (country),FSM,2011,1.6259838
Micronesia (country),FSM,2012,1.6568962
Micronesia (country),FSM,2013,1.6610312
Micronesia (country),FSM,2014,1.6353017
Micronesia (country),FSM,2015,1.6954058
Micronesia (country),FSM,2016,1.7171427
Micronesia (country),FSM,2017,1.7800838
Micronesia (country),FSM,2018,1.7882746
Moldova,MDA,2014,0.47593278
Moldova,MDA,2015,0.5026531
Moldova,MDA,2016,0.44884598
Moldova,MDA,2017,0.5005186
Moldova,MDA,2018,0.56154037
Moldova,MDA,2019,0.67553675
Moldova,MDA,2020,0.17960371
Moldova,MDA,2021,0.5828079
Moldova,MDA,2022,0.7410996
Mongolia,MNG,2015,0.17728691
Mongolia,MNG,2016,0.20944183
Mongolia,MNG,2017,0.20182829
Mongolia,MNG,2018,0.15283415
Mongolia,MNG,2019,0.15862523
Mongolia,MNG,2020,0.042399976
Montenegro,MNE,2009,10
Montserrat,MSR,2008,2.34
Montserrat,MSR,2009,1.98
Montserrat,MSR,2010,2.13
Montserrat,MSR,2011,1.8
Montserrat,MSR,2012,2.04
Montserrat,MSR,2013,2.01
Montserrat,MSR,2014,2.2
Montserrat,MSR,2015,2.27
Montserrat,MSR,2016,1.75
Montserrat,MSR,2017,2.3
Montserrat,MSR,2018,2.24
Montserrat,MSR,2019,1.76
Montserrat,MSR,2020,0.87
Montserrat,MSR,2021,0.5
Morocco,MAR,2009,7.0728474
Morocco,MAR,2010,7.3190746
Morocco,MAR,2011,7.067469
Morocco,MAR,2012,6.8922305
Morocco,MAR,2013,6.837032
Morocco,MAR,2014,6.6903615
Morocco,MAR,2015,6.443646
Morocco,MAR,2016,6.598311
Morocco,MAR,2017,6.8100595
Morocco,MAR,2018,6.933536
Morocco,MAR,2019,7.063461
Mozambique,MOZ,2015,5.22
Mozambique,MOZ,2017,4.33
Mozambique,MOZ,2018,4.65
Mozambique,MOZ,2019,4.7
Mozambique,MOZ,2020,2.74
Mozambique,MOZ,2021,2.75
Mozambique,MOZ,2022,4.45
Namibia,NAM,2009,2.7
Namibia,NAM,2010,2.6
Namibia,NAM,2011,2.9
Namibia,NAM,2012,2.9
Namibia,NAM,2013,3
Namibia,NAM,2014,3
Namibia,NAM,2015,3.3
Namibia,NAM,2016,3
Namibia,NAM,2017,2.9
Namibia,NAM,2020,5.6
Nepal,NPL,2010,1.5684589
Nepal,NPL,2011,1.6410949
Nepal,NPL,2012,1.7841526
Nepal,NPL,2013,1.7573789
Nepal,NPL,2014,1.8941462
Nepal,NPL,2015,1.7742611
Nepal,NPL,2016,1.824695
Nepal,NPL,2017,1.9478097
Nepal,NPL,2018,1.9603947
Nepal,NPL,2019,1.283898
Nepal,NPL,2020,1.3635466
Nepal,NPL,2021,1.6
Netherlands,NLD,2010,3.152295
Netherlands,NLD,2011,3.177388
Netherlands,NLD,2012,3.2939985
Netherlands,NLD,2013,3.4207978
Netherlands,NLD,2014,3.6879106
Netherlands,NLD,2015,3.952902
Netherlands,NLD,2016,4.1732826
Netherlands,NLD,2017,4.2970767
Netherlands,NLD,2018,4.370286
Netherlands,NLD,2019,4.3921046
Netherlands,NLD,2020,2.3
Netherlands,NLD,2021,2.5
Netherlands,NLD,2022,3.7
New Zealand,NZL,2008,5.7
New Zealand,NZL,2009,5.2
New Zealand,NZL,2010,5.2
New Zealand,NZL,2011,5.1
New Zealand,NZL,2012,5.1
New Zealand,NZL,2013,5.1
New Zealand,NZL,2014,5
New Zealand,NZL,2015,5.6
New Zealand,NZL,2016,6.2
New Zealand,NZL,2017,5.8
New Zealand,NZL,2018,5.8
New Zealand,NZL,2019,5.6
New Zealand,NZL,2020,5.4
New Zealand,NZL,2021,3.3
New Zealand,NZL,2022,3
Nigeria,NGA,2010,4.38
Nigeria,NGA,2011,4.38
Nigeria,NGA,2012,4.5
Nigeria,NGA,2013,5.01
Nigeria,NGA,2014,5.24
Nigeria,NGA,2015,5.56
Nigeria,NGA,2016,5.7
Nigeria,NGA,2017,5.46
Nigeria,NGA,2018,5.44
Nigeria,NGA,2019,5.58
Nigeria,NGA,2020,4.29
North Macedonia,MKD,2019,2.358966
Norway,NOR,2008,3.3
Norway,NOR,2009,3.7
Norway,NOR,2010,3.6
Norway,NOR,2011,3.7
Norway,NOR,2012,3.7
Norway,NOR,2013,3.7
Norway,NOR,2014,3.7
Norway,NOR,2015,4
Norway,NOR,2016,4.3
Norway,NOR,2017,4.1
Norway,NOR,2018,3.8
Norway,NOR,2019,4
Norway,NOR,2020,3
Oman,OMN,2008,2.3460746
Oman,OMN,2009,2.6487052
Oman,OMN,2010,2.415616
Oman,OMN,2011,2.115288
Oman,OMN,2012,2.1600862
Oman,OMN,2013,2.2506337
Oman,OMN,2014,2.2672434
Oman,OMN,2015,2.7029626
Oman,OMN,2016,2.7442863
Oman,OMN,2017,2.6565363
Oman,OMN,2018,2.6623282
Oman,OMN,2019,2.8956735
Oman,OMN,2020,2.5108347
Oman,OMN,2021,2.3724139
Oman,OMN,2022,2.4277947
Palau,PLW,2008,17.47299
Palau,PLW,2009,17.892939
Palau,PLW,2010,18.689205
Palau,PLW,2011,21.527176
Palau,PLW,2012,23.511772
Palau,PLW,2013,24.826073
Palau,PLW,2014,25.700485
Palau,PLW,2015,26.398138
Palau,PLW,2016,24.653816
Palau,PLW,2017,21.922548
Palau,PLW,2018,19.974857
Palau,PLW,2019,18.137497
